고객ID,이탈여부,총매출액,구매금액대,방문빈도,1회 평균매출액,할인권 사용 횟수,총 할인 금액,고객등급,구매유형,클레임접수여부,구매카테고리수,거주지역,성별,고객 나이대,거래기간,할인민감여부,Recency,Frequency,Monetary,평균 구매주기
1,1,4963160,1,22,225598,1,5445,1,3,0,7,6,1,6,3303,0,3,2,1,149.1363636
2,1,2271520,0,38,59777,22,350995,1,1,0,5,4,0,2,3129,0,5,3,4,81.34210526
3,1,2484250,0,2,1242125,6,186045,1,2,1,4,6,0,3,3636,0,4,1,4,1817
4,1,2778850,0,9,308761,1,5195,2,4,0,4,5,0,4,3637,0,7,4,6,403.1111111
5,1,4437610,1,10,443761,9,246350,2,4,0,6,6,0,4,3638,0,5,1,4,362.8
6,1,10720400,2,4,2680100,20,348145,2,4,0,9,5,0,3,3639,1,7,4,1,908.75
7,1,7228460,1,11,657133,30,380945,2,1,0,3,6,1,4,3244,0,4,1,2,293.9090909
8,1,8790450,2,34,258543,4,354735,2,2,0,7,6,0,3,1940,0,6,3,6,56.05882353
9,1,9759800,2,6,1626633,17,364895,2,4,0,9,6,0,4,1940,1,7,4,6,322.3333333
10,1,4077660,0,95,42923,27,357645,1,4,0,9,5,0,2,3643,0,7,7,6,37.34736842
11,1,2125010,0,18,118056,23,379900,1,2,0,5,5,0,3,1456,0,5,1,4,79.88888889
12,1,2055120,0,8,256890,22,350050,1,2,0,5,7,0,3,3428,0,1,1,4,427.5
13,1,3168400,0,14,226314,1,4500,2,4,0,4,4,0,4,3646,0,4,1,4,259.4285714
14,1,2555650,0,28,91273,14,334100,1,3,1,8,4,0,3,3647,0,7,2,1,129.25
15,1,2110000,0,2,1055000,23,380200,1,4,1,9,3,0,4,3648,0,3,5,1,1823
16,1,3385460,0,3,1128487,30,379750,2,2,0,2,6,0,5,3649,0,2,1,2,1215.333333
17,1,1948100,0,7,278300,18,342145,1,4,0,5,5,1,3,1721,0,5,1,4,244.8571429
18,1,6780130,1,45,150670,22,350745,2,2,0,7,6,0,4,2162,0,6,4,6,47.04444444
19,1,3154780,0,11,286798,16,365845,1,3,1,7,6,1,5,3652,0,7,1,6,331
20,1,2708850,0,53,51110,23,380345,1,3,0,7,6,0,3,3653,0,7,5,6,67.9245283
21,1,4153320,1,11,377575,20,346850,2,2,0,2,6,0,4,2221,0,6,1,2,200.9090909
22,1,3945600,0,8,493200,15,325100,2,4,0,5,5,0,4,3655,0,5,1,4,455.875
23,1,2765000,0,4,691250,3,43695,1,1,1,4,6,0,3,3656,0,4,1,4,913
24,1,6179500,1,4,1544875,11,296450,2,4,0,2,6,0,6,3657,0,1,1,2,913.25
25,1,6480930,1,9,720103,27,357895,1,3,1,2,5,1,5,2238,0,7,5,3,247.6666667
26,1,2570550,0,12,214213,23,380845,1,3,1,3,3,0,3,3659,0,3,1,2,303.9166667
27,1,1946470,0,18,108137,7,210500,1,1,0,5,5,1,5,3660,0,7,5,6,202.3333333
28,1,3265440,0,37,88255,15,326295,1,2,0,6,5,0,2,1505,0,5,3,4,39.67567568
29,1,2517860,0,29,86823,3,43000,1,3,1,6,4,0,2,3171,0,5,2,4,108.3448276
30,1,2199380,0,9,244376,28,375900,1,4,1,5,5,0,4,3456,0,5,1,4,383
31,1,5130680,1,34,150902,12,214435,1,2,0,6,5,0,4,3664,0,6,3,3,106.7647059
32,1,3206640,0,13,246665,22,351495,2,3,0,6,6,0,2,2266,0,5,1,4,173.3076923
33,1,1992050,0,6,332008,15,325350,1,1,0,4,4,1,3,3464,0,4,1,4,576.3333333
34,1,3247500,0,5,649500,18,342645,2,1,0,3,4,1,3,3667,0,4,1,2,732.4
35,1,10890430,2,11,990039,5,131150,2,4,0,9,2,0,4,3668,1,7,1,6,332.4545455
36,1,2500700,0,9,277856,18,341645,1,2,0,3,6,1,3,1991,0,1,1,2,220.2222222
37,1,4792880,1,12,399407,21,348445,2,4,0,9,5,0,6,3670,0,7,5,6,304.8333333
38,1,2051500,0,4,512875,15,327045,1,4,1,3,4,0,4,1896,0,4,1,2,473
39,1,5123900,1,18,284661,30,380500,2,4,0,9,5,0,4,3672,0,3,4,5,203
40,1,2826250,0,10,282625,15,326795,1,4,0,3,7,0,4,1588,0,4,1,2,157.8
41,1,4299850,1,14,307132,30,381695,2,4,0,9,5,1,4,2583,0,7,5,6,183.5
42,1,3013140,0,50,60263,16,365900,1,4,0,7,6,0,4,1000,0,7,5,6,19
43,1,3425570,0,21,163122,19,351635,2,4,0,6,6,0,4,3502,0,5,2,4,165.7619048
44,1,9773200,2,7,1396171,22,350550,2,4,0,9,7,0,4,1216,1,7,6,6,172.7142857
45,1,4364460,1,24,181853,1,4945,1,4,0,6,6,0,4,3678,1,5,2,4,152.25
46,1,2575350,0,7,367907,11,295950,2,2,0,3,4,0,2,2519,0,4,1,2,358.8571429
47,1,3245650,0,5,649130,20,346950,1,4,0,9,5,1,4,3680,1,7,5,6,735
